company,company_id,company_size,country,country_iso3,bundle_id,industry,year,indicator,value,unit_of_measure,sub_code,id
Inarktika PAO,8331,Small,Russian Federation,RUS,29635,Processed Foods,2016,Total weight of hazardous waste diverted from disposal,493,Metric tons,306-4-b,9159343
AVI Ltd,10313,Small,South Africa,ZAF,23248,Processed Foods,2016,Water consumption from all areas with water stress,1301,m3,303-5-b,5618707
Zentis,103048,Medium,Germany,DEU,55392,Processed Foods,2016,Water consumption from all areas with water stress,1673000,m3,303-5-b,24111668
Inarktika PAO,8331,Small,Russian Federation,RUS,29635,Processed Foods,2016,Significant air emissions,1455,Metric tons,305-7-a,20611949
Zentis,103048,Medium,Germany,DEU,55392,Processed Foods,2016,Total energy consumption within the organization,941856,GJ,302-1-e,24114183
Seneca Foods Corporation,14914,Large,United States,USA,40156,Processed Foods,2016,Total weight of waste diverted from disposal,16674056.62,Metric tons,306-4-a,21445769
Inarktika PAO,8331,Small,Russian Federation,RUS,29635,Processed Foods,2016,"Direct economic value generated and distributed: revenues and distributions (operating costs, employee compensation, payments to capital providers, government, and community investments)",19340918,USD,201-1-a,29226085
Inarktika PAO,8331,Small,Russian Federation,RUS,29635,Processed Foods,2016,Water discharge to all areas,65260000,m3,303-4-a,9159084
Salov S.p.A.,102350,Medium,Italy,ITA,54572,Processed Foods,2016,Water withdrawal from all areas,120903,m3,303-3-a,19587184
Salov S.p.A.,102350,Medium,Italy,ITA,54572,Processed Foods,2016,Change in water storage,38255,m3,303-5-c,19587082
Zentis,103048,Medium,Germany,DEU,55392,Processed Foods,2016,Water consumption from all areas,1673000,m3,303-5-a,24111898
Seneca Foods Corporation,14914,Large,United States,USA,40156,Processed Foods,2016,Total weight of waste generated,16674056.62,Metric tons,306-3-a,21445383
Zentis,103048,Medium,Germany,DEU,55392,Processed Foods,2016,Gross location-based energy indirect (Scope 2) GHG emissions,23827,Metric tons of CO2-equivalent,305-2-a,24112778
Salov S.p.A.,102350,Medium,Italy,ITA,54572,Processed Foods,2016,Water withdrawal from all areas with water stress,120903,m3,303-3-b,19587194
Inarktika PAO,8331,Small,Russian Federation,RUS,29635,Processed Foods,2016,Total monetary value of government financial assistance received,19340918,USD,201-4-a,29225951
AVI Ltd,10313,Small,South Africa,ZAF,23249,Processed Foods,2016,Water withdrawal from all areas,8508092.09,m3,303-3-a,5566131
Zentis,103048,Medium,Germany,DEU,55392,Processed Foods,2016,Total weight of waste directed to disposal,8529,Metric tons,306-5-a,24113764
Zentis,103048,Medium,Germany,DEU,55392,Processed Foods,2016,Total weight of waste diverted from disposal,8529,Metric tons,306-4-a,24114278
Inarktika PAO,8331,Small,Russian Federation,RUS,29635,Processed Foods,2016,Tax information by jurisdiction,19340918,USD,207-4-b,29225906
Zentis,103048,Medium,Germany,DEU,55392,Processed Foods,2016,Total weight of hazardous waste diverted from disposal,8529,Metric tons,306-4-b,24112631
Inarktika PAO,8331,Small,Russian Federation,RUS,29635,Processed Foods,2016,Total weight of hazardous waste directed to disposal,315,Metric tons,306-5-b,9159351
Inarktika PAO,8331,Small,Russian Federation,RUS,29635,Processed Foods,2016,"Total electricity, heating, cooling and heating sold",1108890,GJ,302-1-d,9159164
Thai Union Group PCL,10111,Large,Thailand,THA,33302,Processed Foods,2016,Water discharge to all areas,83262,m3,303-4-a,10160520
AVI Ltd,10313,Small,South Africa,ZAF,23248,Processed Foods,2016,Water consumption from all areas,1301,m3,303-5-a,5617706
Salov S.p.A.,102350,Medium,Italy,ITA,54572,Processed Foods,2016,Water withdrawal breakdown by sources,120903,m3,303-3-c,19587309
Thai Union Group PCL,10111,Large,Thailand,THA,33302,Processed Foods,2016,Gross location-based energy indirect (Scope 2) GHG emissions,422695,Metric tons of CO2-equivalent,305-2-a,10160550
Inarktika PAO,8331,Small,Russian Federation,RUS,29635,Processed Foods,2016,Total weight of non-hazardous waste diverted from disposal,493,Metric tons,306-4-c,9159212
Inarktika PAO,8331,Small,Russian Federation,RUS,29635,Processed Foods,2016,"Total electricity, heating, cooling and steam consumption",26015416,GJ,302-1-c,9159383
Thai Union Group PCL,10111,Large,Thailand,THA,33302,Processed Foods,2016,Water consumption from all areas,1972299,m3,303-5-a,10160747
