company,company_id,company_size,country,country_iso3,bundle_id,industry,year,indicator,value,unit_of_measure,sub_code,id
Old Chang Kee Ltd.,11345,Large,Singapore,SGP,59941,Processed Foods,2025,Employee turnover,185,number_of_employees,401-1-b,31071849
Old Chang Kee Ltd.,11345,Large,Singapore,SGP,59941,Processed Foods,2025,Gross direct (Scope 1) GHG emissions,502.3,Metric tons of CO2-equivalent,305-1-a,31071860
Uni-President Enterprises Corp,15256,Large,Taiwan,TWN,25469,Processed Foods,2025,Gross location-based energy indirect (Scope 2) GHG emissions,189221.6,Metric tons of CO2-equivalent,305-2-a,22187657
Famous Brands Ltd,20685,Medium,South Africa,ZAF,60189,Processed Foods,2025,Gross other indirect (Scope 3) GHG emissions,4218.92,Metric tons of CO2-equivalent,305-3-a,31131715
Country Foods Ltd,38551,Large,South Africa,ZAF,43048,Processed Foods,2025,Total weight or volume of materials used in produced and packaged products,1000,Metric tons,301-1-a,30260793
Zhongxin Fruit and Juice Ltd,11364,Small,Singapore,SGP,39277,Processed Foods,2025,Gross location-based energy indirect (Scope 2) GHG emissions,2430,Metric tons of CO2-equivalent,305-2-a,14463805
Old Chang Kee Ltd.,11345,Large,Singapore,SGP,59941,Processed Foods,2025,Total weight of non-hazardous waste directed to disposal,250.3,Metric tons,306-5-c,31071893
"Herbalife International, Inc.",4261,Large,United States,USA,28540,Processed Foods,2025,Gross direct (Scope 1) GHG emissions,7535,Metric tons of CO2-equivalent,305-1-a,8884797
Zhongxin Fruit and Juice Ltd,11364,Small,Singapore,SGP,39277,Processed Foods,2025,Gross market-based energy indirect (Scope 2) GHG emissions,2430,Metric tons of CO2-equivalent,305-2-b,14463150
Old Chang Kee Ltd.,11345,Large,Singapore,SGP,59941,Processed Foods,2025,Gross market-based energy indirect (Scope 2) GHG emissions,3563.5,Metric tons of CO2-equivalent,305-2-b,31071842
Old Chang Kee Ltd.,11345,Large,Singapore,SGP,59941,Processed Foods,2025,Total weight of waste directed to disposal,250.3,Metric tons,306-5-a,31071867
Old Chang Kee Ltd.,11345,Large,Singapore,SGP,59941,Processed Foods,2025,Gross other indirect (Scope 3) GHG emissions,6064,Metric tons of CO2-equivalent,305-3-a,31071843
Old Chang Kee Ltd.,11345,Large,Singapore,SGP,59941,Processed Foods,2025,Total weight of waste diverted from disposal,250.3,Metric tons,306-4-a,31071872
Famous Brands Ltd,20685,Medium,South Africa,ZAF,60189,Processed Foods,2025,Water withdrawal from all areas,393385,m3,303-3-a,31131719
Old Chang Kee Ltd.,11345,Large,Singapore,SGP,59941,Processed Foods,2025,Total weight of waste generated,250.3,Metric tons,306-3-a,31071816
Ardent Mills,100180,Large,United States,USA,60472,Processed Foods,2025,Total weight of waste diverted from disposal,7840,Metric tons,306-4-a,30677127
Pescanova SA,13011,Large,Spain,ESP,39700,Processed Foods,2025,Workers covered by health and safety management system,70,number_of_employees,403-8-a,20172750
Zhongxin Fruit and Juice Ltd,11364,Small,Singapore,SGP,39277,Processed Foods,2025,Total fuel consumption from non-renewable sources,0,GJ,302-1-a,14463803
Old Chang Kee Ltd.,11345,Large,Singapore,SGP,59941,Processed Foods,2025,Confirmed incidents of corruption,0,number_of_incidents,205-3-a,31071841
Ardent Mills,100180,Large,United States,USA,60472,Processed Foods,2025,Total weight of non-hazardous waste diverted from disposal,7840,Metric tons,306-4-c,30677125
Old Chang Kee Ltd.,11345,Large,Singapore,SGP,59941,Processed Foods,2025,Incidents of non-compliance with regulations regarding the health and safety impacts of products and services,1,number_of_incidents,416-2-a,31071917
"Herbalife International, Inc.",4261,Large,United States,USA,28540,Processed Foods,2025,Gross market-based energy indirect (Scope 2) GHG emissions,18164,Metric tons of CO2-equivalent,305-2-b,8884907
Old Chang Kee Ltd.,11345,Large,Singapore,SGP,59941,Processed Foods,2025,Water consumption from all areas with water stress,37977,m3,303-5-b,31071800
Old Chang Kee Ltd.,11345,Large,Singapore,SGP,59941,Processed Foods,2025,Water consumption from all areas,37977,m3,303-5-a,31071802
Famous Brands Ltd,20685,Medium,South Africa,ZAF,60189,Processed Foods,2025,Water consumption from all areas with water stress,393385,m3,303-5-b,31131779
Orion Corporation,4969,Medium,Finland,FIN,59742,Processed Foods,2025,Significant air emissions,688989,Metric tons,305-7-a,31153074
Old Chang Kee Ltd.,11345,Large,Singapore,SGP,59941,Processed Foods,2025,Total energy consumption outside of the organization,38595.6,GJ,302-2-a,31071820
Old Chang Kee Ltd.,11345,Large,Singapore,SGP,59941,Processed Foods,2025,Total weight or volume of materials used in produced and packaged products,1098.63,Metric tons,301-1-a,31071797
Old Chang Kee Ltd.,11345,Large,Singapore,SGP,59941,Processed Foods,2025,Employee breakdown by gender and region,673,number_of_employees,2-7-a,31071827
Old Chang Kee Ltd.,11345,Large,Singapore,SGP,59941,Processed Foods,2025,Incidents of discrimination,0,number_of_incidents,406-1-a,31071880
"Herbalife International, Inc.",4261,Large,United States,USA,28540,Processed Foods,2025,Gross location-based energy indirect (Scope 2) GHG emissions,18164,Metric tons of CO2-equivalent,305-2-a,8885104
Famous Brands Ltd,20685,Medium,South Africa,ZAF,60189,Processed Foods,2025,Total energy consumption within the organization,112899.6,GJ,302-1-e,31131625
Famous Brands Ltd,20685,Medium,South Africa,ZAF,60189,Processed Foods,2025,Gross market-based energy indirect (Scope 2) GHG emissions,31387.83,Metric tons of CO2-equivalent,305-2-b,31131718
Old Chang Kee Ltd.,11345,Large,Singapore,SGP,59941,Processed Foods,2025,"Total electricity, heating, cooling and steam consumption",38595.6,GJ,302-1-c,31071806
Famous Brands Ltd,20685,Medium,South Africa,ZAF,60189,Processed Foods,2025,Water withdrawal from all areas with water stress,393385,m3,303-3-b,31131749
Kyokuyo Co Ltd,21474,Medium,Japan,JPN,60220,Processed Foods,2025,"Total electricity, heating, cooling and steam consumption",2025,GJ,302-1-c,30944597
Old Chang Kee Ltd.,11345,Large,Singapore,SGP,59941,Processed Foods,2025,New employee hires,221,number_of_employees,401-1-a,31071885
Old Chang Kee Ltd.,11345,Large,Singapore,SGP,59941,Processed Foods,2025,Total energy consumption within the organization,38595.6,GJ,302-1-e,31071795
Famous Brands Ltd,20685,Medium,South Africa,ZAF,60189,Processed Foods,2025,Gross location-based energy indirect (Scope 2) GHG emissions,31387.83,Metric tons of CO2-equivalent,305-2-a,31131753
Ebro Foods SA,8323,Large,Spain,ESP,59856,Processed Foods,2025,Composition of highest governance body,11,number_of_members,2-9-c,30806625
Famous Brands Ltd,20685,Medium,South Africa,ZAF,60189,Processed Foods,2025,Gross direct (Scope 1) GHG emissions,14902.33,Metric tons of CO2-equivalent,305-1-a,31131821
Old Chang Kee Ltd.,11345,Large,Singapore,SGP,59941,Processed Foods,2025,Reductions in energy requirements of sold products and services,38595.6,GJ,302-5-a,31071801
Famous Brands Ltd,20685,Medium,South Africa,ZAF,60189,Processed Foods,2025,Total weight of waste generated,2578,Metric tons,306-3-a,31131681
Nestle Pakistan Ltd,68966,Large,Pakistan,PAK,45995,Processed Foods,2025,Total weight of hazardous waste diverted from disposal,1000,Metric tons,306-4-b,18451718
Nestle Pakistan Ltd,68966,Large,Pakistan,PAK,45995,Processed Foods,2025,Total weight of waste diverted from disposal,1000,Metric tons,306-4-a,18451392
Daisho Co Ltd,21438,Small,Japan,JPN,41195,Processed Foods,2025,GHG emissions reduced as a direct result of reduction initiatives,680000,Metric tons of CO2-equivalent,305-5-a,15611685
Nestle Pakistan Ltd,68966,Large,Pakistan,PAK,45995,Processed Foods,2025,Total weight of waste directed to disposal,1000,Metric tons,306-5-a,18451707
Convenience Foods Lanka PLC,38192,Large,Sri Lanka,LKA,58615,Processed Foods,2025,Water consumption from all areas,17137,m3,303-5-a,27416412
Convenience Foods Lanka PLC,38192,Large,Sri Lanka,LKA,58615,Processed Foods,2025,Gross direct (Scope 1) GHG emissions,1638.47,Metric tons of CO2-equivalent,305-1-a,27416421
"General Mills, Inc.",3098,Large,United States,USA,18734,Processed Foods,2025,Gross direct (Scope 1) GHG emissions,730000,Metric tons of CO2-equivalent,305-1-a,2731343
Convenience Foods Lanka PLC,38192,Large,Sri Lanka,LKA,58615,Processed Foods,2025,Employee breakdown by gender and region,364,number_of_employees,2-7-a,27416581
Convenience Foods Lanka PLC,38192,Large,Sri Lanka,LKA,58615,Processed Foods,2025,Employees that took parental leave,2,number_of_employees,401-3-b,27416518
Orion Corporation,4969,Medium,Finland,FIN,28737,Processed Foods,2025,Reductions in energy requirements of sold products and services,43200,GJ,302-5-a,9855444
Convenience Foods Lanka PLC,38192,Large,Sri Lanka,LKA,58615,Processed Foods,2025,Employees that returned to work after parental leabve,2,number_of_employees,401-3-c,27416516
Convenience Foods Lanka PLC,38192,Large,Sri Lanka,LKA,58615,Processed Foods,2025,Total weight of waste diverted from disposal,63.77,Metric tons,306-4-a,27416510
Euraco Finefood Pte Ltd,100990,Medium,Singapore,SGP,52928,Processed Foods,2025,Total weight of waste diverted from disposal,3.41,Metric tons,306-4-a,27911676
Convenience Foods Lanka PLC,38192,Large,Sri Lanka,LKA,58615,Processed Foods,2025,"Total electricity, heating, cooling and steam consumption",8270.28,GJ,302-1-c,27416387
Convenience Foods Lanka PLC,38192,Large,Sri Lanka,LKA,58615,Processed Foods,2025,Employee turnover,98,number_of_employees,401-1-b,29723620
Four Seas Mercantile Holdings Ltd,47096,Large,"Hong Kong SAR, China",HKG,60305,Processed Foods,2025,Total weight of waste directed to disposal,0,Metric tons,306-5-a,30699255
"Snyder's-Lance, Inc.",84577,Large,United States,USA,48864,Processed Foods,2025,Gross location-based energy indirect (Scope 2) GHG emissions,215014,Metric tons of CO2-equivalent,305-2-a,18739843
Lien Hwa Industrial Corporation,15250,Small,Taiwan,TWN,50588,Processed Foods,2025,Gross location-based energy indirect (Scope 2) GHG emissions,500,Metric tons of CO2-equivalent,305-2-a,18766325
Four Seas Mercantile Holdings Ltd,47096,Large,"Hong Kong SAR, China",HKG,60305,Processed Foods,2025,Total weight or volume of materials used in produced and packaged products,25141,Metric tons,301-1-a,30699215
Convenience Foods Lanka PLC,38192,Large,Sri Lanka,LKA,58615,Processed Foods,2025,Gross location-based energy indirect (Scope 2) GHG emissions,1638.47,Metric tons of CO2-equivalent,305-2-a,27416474
Lien Hwa Industrial Corporation,15250,Small,Taiwan,TWN,50588,Processed Foods,2025,GHG emissions reduced as a direct result of reduction initiatives,500,Metric tons of CO2-equivalent,305-5-a,18766310
Orion Corporation,4969,Medium,Finland,FIN,28737,Processed Foods,2025,Reductions in energy consumption achieved through conservation and efficiency measures,43200,GJ,302-4-a,9855422
"Snyder's-Lance, Inc.",84577,Large,United States,USA,48864,Processed Foods,2025,"Total electricity, heating, cooling and steam consumption",10928006.57,GJ,302-1-c,18739927
Euraco Finefood Pte Ltd,100990,Medium,Singapore,SGP,52928,Processed Foods,2025,Total weight of non-hazardous waste diverted from disposal,0.8,Metric tons,306-4-c,27911636
Convenience Foods Lanka PLC,38192,Large,Sri Lanka,LKA,58615,Processed Foods,2025,Gross market-based energy indirect (Scope 2) GHG emissions,1638.47,Metric tons of CO2-equivalent,305-2-b,27416436
Convenience Foods Lanka PLC,38192,Large,Sri Lanka,LKA,58615,Processed Foods,2025,Total weight of waste directed to disposal,63.77,Metric tons,306-5-a,27416504
Convenience Foods Lanka PLC,38192,Large,Sri Lanka,LKA,58615,Processed Foods,2025,Water consumption from all areas with water stress,17137,m3,303-5-b,27416409
Nippon Flour Mills Co Ltd,21449,Large,Japan,JPN,58464,Processed Foods,2025,"Total electricity, heating, cooling and steam consumption",10774.8,GJ,302-1-c,27260622
Saudia Dairy and Foodstuff Company,14864,Large,Saudi Arabia,SAU,58273,Processed Foods,2025,Reductions in energy requirements of sold products and services,23040,GJ,302-5-a,26391910
Convenience Foods Lanka PLC,38192,Large,Sri Lanka,LKA,58615,Processed Foods,2025,New employee hires,117,number_of_employees,401-1-a,29723720
Saudia Dairy and Foodstuff Company,14864,Large,Saudi Arabia,SAU,58273,Processed Foods,2025,"Total electricity, heating, cooling and steam consumption",23040,GJ,302-1-c,26391805
Four Seas Mercantile Holdings Ltd,47096,Large,"Hong Kong SAR, China",HKG,60305,Processed Foods,2025,Employees entitled to parental leave,2154,number_of_employees,401-3-a,30699259
Euraco Finefood Pte Ltd,100990,Medium,Singapore,SGP,52928,Processed Foods,2025,Total weight of waste generated,3.41,Metric tons,306-3-a,27911684
Grupo Arcor SA,5546,Large,Argentina,ARG,57766,Processed Foods,2025,Water consumption from all areas,24241640,m3,303-5-a,27290130
Four Seas Mercantile Holdings Ltd,47096,Large,"Hong Kong SAR, China",HKG,60305,Processed Foods,2025,Water consumption from all areas,269809,m3,303-5-a,30699191
Four Seas Mercantile Holdings Ltd,47096,Large,"Hong Kong SAR, China",HKG,60305,Processed Foods,2025,Total weight of waste generated,0,Metric tons,306-3-a,30699266
Four Seas Mercantile Holdings Ltd,47096,Large,"Hong Kong SAR, China",HKG,60305,Processed Foods,2025,Significant air emissions,7.45,Metric tons,305-7-a,30699247
Tiger Brands Ltd,10325,Large,South Africa,ZAF,58046,Processed Foods,2024,Water withdrawal from all areas,3360.07,m3,303-3-a,26645759
Kikkoman Corporation,13150,Large,Japan,JPN,58198,Processed Foods,2024,Gross direct (Scope 1) GHG emissions,166000,Metric tons of CO2-equivalent,305-1-a,26391589
Cloetta AB,3253,Large,Sweden,SWE,36204,Processed Foods,2024,Gross direct (Scope 1) GHG emissions,14306,Metric tons of CO2-equivalent,305-1-a,12699414
Tiger Brands Ltd,10325,Large,South Africa,ZAF,58046,Processed Foods,2024,Total energy consumption outside of the organization,2729284,GJ,302-2-a,26645754
Lien Hwa Industrial Corporation,15250,Small,Taiwan,TWN,50591,Processed Foods,2024,Gross location-based energy indirect (Scope 2) GHG emissions,475.54,Metric tons of CO2-equivalent,305-2-a,28019140
Barilla,7825,Large,Italy,ITA,59847,Processed Foods,2024,Gross location-based energy indirect (Scope 2) GHG emissions,352000,Metric tons of CO2-equivalent,305-2-a,30695371
Alicorp SAA,10029,Large,Peru,PER,59885,Processed Foods,2024,Water consumption from all areas with water stress,578808,m3,303-5-b,30834616
Alicorp SAA,10029,Large,Peru,PER,59885,Processed Foods,2024,Total weight of non-hazardous waste directed to disposal,8671.36,Metric tons,306-5-c,30834636
Monde Nissin Corporation,13322,Large,Philippines,PHL,51258,Processed Foods,2024,Scope 1 biogenic CO2 emissions,10687,Metric tons of CO2-equivalent,305-1-c,28284909
Kasih Food Production Company,101555,Large,Jordan,JOR,59386,Processed Foods,2024,Incidents of non-compliance with regulations concerning product and service information and labeling,0,number_of_incidents,417-2-a,30597533
Grupo Arcor SA,5546,Large,Argentina,ARG,57766,Processed Foods,2024,Total energy consumption outside of the organization,11978681.5,GJ,302-2-a,27290526
Kasih Food Production Company,101555,Large,Jordan,JOR,59386,Processed Foods,2024,Incidents of discrimination,0,number_of_incidents,406-1-a,29808273
SA San Miguel AGICI y F,79619,Large,Argentina,ARG,48784,Processed Foods,2024,"Total electricity, heating, cooling and heating sold",5319.83,GJ,302-1-d,23304467
Kasih Food Production Company,101555,Large,Jordan,JOR,59386,Processed Foods,2024,Total fuel consumption from non-renewable sources,53026,GJ,302-1-a,26423318
SA San Miguel AGICI y F,79619,Large,Argentina,ARG,48784,Processed Foods,2024,Reductions in energy consumption achieved through conservation and efficiency measures,102870,GJ,302-4-a,23304487
Grupo Arcor SA,5546,Large,Argentina,ARG,57766,Processed Foods,2024,Size and location of all habitat areas protected or restored,19957,hectare,304-3-a,30605469
SA San Miguel AGICI y F,79619,Large,Argentina,ARG,48784,Processed Foods,2024,Reductions in energy requirements of sold products and services,102870,GJ,302-5-a,23304574
Cloetta AB,3253,Large,Sweden,SWE,36204,Processed Foods,2024,Gross market-based energy indirect (Scope 2) GHG emissions,15026,Metric tons of CO2-equivalent,305-2-b,12699871
Tiger Brands Ltd,10325,Large,South Africa,ZAF,58046,Processed Foods,2024,Total weight of waste diverted from disposal,47800,Metric tons,306-4-a,26645815
Chocoladefabriken Lindt & Spruengli AG,5964,Large,Switzerland,CHE,57804,Processed Foods,2024,"Total electricity, heating, cooling and steam consumption",301082.4,GJ,302-1-c,27053099
Kasih Food Production Company,101555,Large,Jordan,JOR,59386,Processed Foods,2024,Employee breakdown by gender and region,16,number_of_employees,2-7-a,26423356
Monde Nissin Corporation,13322,Large,Philippines,PHL,51258,Processed Foods,2024,Total fuel consumption from renewable sources,500720,GJ,302-1-b,28284829
Alicorp SAA,10029,Large,Peru,PER,59885,Processed Foods,2024,Gross location-based energy indirect (Scope 2) GHG emissions,19000.77,Metric tons of CO2-equivalent,305-2-a,30834611
Kasih Food Production Company,101555,Large,Jordan,JOR,59386,Processed Foods,2024,Reductions in energy requirements of sold products and services,662.4,GJ,302-5-a,26423341
Kasih Food Production Company,101555,Large,Jordan,JOR,59386,Processed Foods,2024,Reductions in energy consumption achieved through conservation and efficiency measures,662.4,GJ,302-4-a,26423372
Gopal Snacks Ltd,49819,Large,India,IND,44087,Processed Foods,2024,Total weight of hazardous waste directed to disposal,1.84,Metric tons,306-5-b,17275601
Grupo Arcor SA,5546,Large,Argentina,ARG,57766,Processed Foods,2024,Total fuel consumption from renewable sources,17813990.2,GJ,302-1-b,27290112
Kasih Food Production Company,101555,Large,Jordan,JOR,59386,Processed Foods,2024,Total energy consumption within the organization,76963,GJ,302-1-e,26423395
Kasih Food Production Company,101555,Large,Jordan,JOR,59386,Processed Foods,2024,Total energy consumption outside of the organization,53026,GJ,302-2-a,26423406
Chocoladefabriken Lindt & Spruengli AG,5964,Large,Switzerland,CHE,57804,Processed Foods,2024,Number of suppliers assessed for environmental impacts,35,number_of_suppliers,308-2-a,30091088
Tiger Brands Ltd,10325,Large,South Africa,ZAF,58046,Processed Foods,2024,Gross market-based energy indirect (Scope 2) GHG emissions,227222,Metric tons of CO2-equivalent,305-2-b,26645825
Monde Nissin Corporation,13322,Large,Philippines,PHL,51258,Processed Foods,2024,Total energy consumption within the organization,1680695,GJ,302-1-e,28284868
Jungbunzlauer Suisse AG,3377,Large,Switzerland,CHE,57627,Processed Foods,2024,Water consumption from all areas,1264000,m3,303-5-a,27659291
Alicorp SAA,10029,Large,Peru,PER,59885,Processed Foods,2024,"Identified leaks, thefts or losses of customer data",0,number_of_incidents,418-1-b,30834869
Monde Nissin Corporation,13322,Large,Philippines,PHL,51258,Processed Foods,2024,Total weight of waste directed to disposal,403,Metric tons,306-5-a,28284896
Barilla,7825,Large,Italy,ITA,59847,Processed Foods,2024,Gross market-based energy indirect (Scope 2) GHG emissions,352000,Metric tons of CO2-equivalent,305-2-b,30695366
Kasih Food Production Company,101555,Large,Jordan,JOR,59386,Processed Foods,2024,Total weight of waste diverted from disposal,199,Metric tons,306-4-a,26423425
Greenyard NV,10150,Medium,Belgium,BEL,50172,Processed Foods,2024,Incidents of discrimination,0,number_of_incidents,406-1-a,30240526
Kasih Food Production Company,101555,Large,Jordan,JOR,59386,Processed Foods,2024,Total weight of waste generated,199,Metric tons,306-3-a,26423455
Barilla,7825,Large,Italy,ITA,59847,Processed Foods,2024,Gross other indirect (Scope 3) GHG emissions,2499000,Metric tons of CO2-equivalent,305-3-a,30695376
Alicorp SAA,10029,Large,Peru,PER,59885,Processed Foods,2024,Total fuel consumption from non-renewable sources,1216452.57,GJ,302-1-a,30834495
Four Seas Mercantile Holdings Ltd,47096,Large,"Hong Kong SAR, China",HKG,60305,Processed Foods,2024,Water consumption from all areas,272367,m3,303-5-a,30699192
Cloetta AB,3253,Large,Sweden,SWE,36204,Processed Foods,2024,Gross other indirect (Scope 3) GHG emissions,280953,Metric tons of CO2-equivalent,305-3-a,12699606
Cloetta AB,3253,Large,Sweden,SWE,36204,Processed Foods,2024,Total weight of hazardous waste diverted from disposal,1384,Metric tons,306-4-b,12699888
Foods & Inns Ltd,15927,Small,India,IND,25890,Processed Foods,2024,Gross market-based energy indirect (Scope 2) GHG emissions,8014.75,Metric tons of CO2-equivalent,305-2-b,8108997
Unity Foods Ltd,92863,Large,Pakistan,PAK,60450,Processed Foods,2024,Incidents of discrimination,0,number_of_incidents,406-1-a,30702570
Coca-Cola Europacific Partners PLC,2345,Large,United Kingdom,GBR,35819,Processed Foods,2024,Gross direct (Scope 1) GHG emissions,388002,Metric tons of CO2-equivalent,305-1-a,22230965
Monde Nissin Corporation,13322,Large,Philippines,PHL,51258,Processed Foods,2024,Total weight of non-hazardous waste diverted from disposal,4,Metric tons,306-4-c,28284940
Lactalis ,7810,Large,France,FRA,59846,Processed Foods,2024,Gross market-based energy indirect (Scope 2) GHG emissions,11920,Metric tons of CO2-equivalent,305-2-b,30993645
Cloetta AB,3253,Large,Sweden,SWE,36204,Processed Foods,2024,"Total electricity, heating, cooling and steam consumption",682354.8,GJ,302-1-c,12699439
Tiger Brands Ltd,10325,Large,South Africa,ZAF,58046,Processed Foods,2024,Water consumption from all areas with water stress,3360.07,m3,303-5-b,26645742
Monde Nissin Corporation,13322,Large,Philippines,PHL,51258,Processed Foods,2024,Gross market-based energy indirect (Scope 2) GHG emissions,21157,Metric tons of CO2-equivalent,305-2-b,28284881
Tiger Brands Ltd,10325,Large,South Africa,ZAF,58046,Processed Foods,2024,Water withdrawal breakdown by sources,3360.07,m3,303-3-c,26645745
Coca-Cola Europacific Partners PLC,2345,Large,United Kingdom,GBR,35819,Processed Foods,2024,Water consumption from all areas,22703000,m3,303-5-a,22230962
Chocoladefabriken Lindt & Spruengli AG,5964,Large,Switzerland,CHE,57804,Processed Foods,2024,Total energy consumption within the organization,1873926,GJ,302-1-e,27052420
Cloetta AB,3253,Large,Sweden,SWE,36204,Processed Foods,2024,Total energy consumption within the organization,682354.8,GJ,302-1-e,12699594
Britannia Industries Ltd,7843,Large,India,IND,38280,Processed Foods,2024,Total weight of non-hazardous waste diverted from disposal,521.1,Metric tons,306-4-c,14673991
Cloetta AB,3253,Large,Sweden,SWE,36204,Processed Foods,2024,Total fuel consumption from non-renewable sources,323935.2,GJ,302-1-a,12699417
Gopal Snacks Ltd,49819,Large,India,IND,44087,Processed Foods,2024,Total weight of non-hazardous waste directed to disposal,1.84,Metric tons,306-5-c,17278765
Alicorp SAA,10029,Large,Peru,PER,59885,Processed Foods,2024,Water consumption from all areas,578808,m3,303-5-a,30834487
Coca-Cola Europacific Partners PLC,2345,Large,United Kingdom,GBR,35819,Processed Foods,2024,Breakdown of water discharge by sources,14000000,m3,303-4-b,22230904
Britannia Industries Ltd,7843,Large,India,IND,38280,Processed Foods,2024,Total weight of non-hazardous waste directed to disposal,0.12,Metric tons,306-5-c,14673890
Kasih Food Production Company,101555,Large,Jordan,JOR,59386,Processed Foods,2024,Gross other indirect (Scope 3) GHG emissions,7008,Metric tons of CO2-equivalent,305-3-a,26423459
Kasih Food Production Company,101555,Large,Jordan,JOR,59386,Processed Foods,2024,GHG emissions reduced as a direct result of reduction initiatives,161,Metric tons of CO2-equivalent,305-5-a,26423430
Cloetta AB,3253,Large,Sweden,SWE,36204,Processed Foods,2024,Total weight of non-hazardous waste directed to disposal,18444,Metric tons,306-5-c,12699960
Britannia Industries Ltd,7843,Large,India,IND,38280,Processed Foods,2024,Number of suppliers assessed for social impacts,453,number_of_suppliers,414-2-a,29905120
Grupo Arcor SA,5546,Large,Argentina,ARG,57766,Processed Foods,2024,Water withdrawal from all areas,30626626,m3,303-3-a,27290217
Chocoladefabriken Lindt & Spruengli AG,5964,Large,Switzerland,CHE,57804,Processed Foods,2024,Total number of significant instances of non-compliance with laws and regulations,3,number_of_instances,2-27-a,27052628
Cloetta AB,3253,Large,Sweden,SWE,36204,Processed Foods,2024,Employee turnover,584,number_of_employees,401-1-b,29586871
Cloetta AB,3253,Large,Sweden,SWE,36204,Processed Foods,2024,Value of benefit plan liabilities,35769588,USD,201-3-a,29586868
ADF Foods Ltd,23058,Large,India,IND,58480,Processed Foods,2024,Water withdrawal breakdown by sources,150900,m3,303-3-c,27601678
Nitta Gelatin Inc,70137,Large,Japan,JPN,58847,Processed Foods,2024,"Total electricity, heating, cooling and heating sold",95.9,GJ,302-1-d,26182228
ADF Foods Ltd,23058,Large,India,IND,58480,Processed Foods,2024,Water consumption from all areas with water stress,92909,m3,303-5-b,27601723
Nitta Gelatin Inc,70137,Large,Japan,JPN,58847,Processed Foods,2024,Total energy consumption outside of the organization,24417,GJ,302-2-a,26182258
Britannia Industries Ltd,7843,Large,India,IND,38280,Processed Foods,2024,Number of suppliers assessed for environmental impacts,453,number_of_suppliers,308-2-a,29905042
Convenience Foods Lanka PLC,38192,Large,Sri Lanka,LKA,58615,Processed Foods,2024,Water consumption from all areas,16057,m3,303-5-a,27416413
ADF Foods Ltd,23058,Large,India,IND,58480,Processed Foods,2024,Water discharge to all areas with water stress,57991,m3,303-4-c,27601721
Greenyard NV,10150,Medium,Belgium,BEL,50172,Processed Foods,2024,Total number of significant instances of non-compliance with laws and regulations,0,number_of_instances,2-27-a,20439371
ADF Foods Ltd,23058,Large,India,IND,58480,Processed Foods,2024,Water discharge to all areas,57991,m3,303-4-a,27601628
ADF Foods Ltd,23058,Large,India,IND,58480,Processed Foods,2024,Breakdown of water discharge by sources,57991,m3,303-4-b,27601586
Convenience Foods Lanka PLC,38192,Large,Sri Lanka,LKA,58615,Processed Foods,2024,Employee turnover,83,number_of_employees,401-1-b,29723626
Savencia SA,8344,Large,France,FRA,57967,Processed Foods,2024,Total weight of non-hazardous waste diverted from disposal,488236,Metric tons,306-4-c,26416993
Convenience Foods Lanka PLC,38192,Large,Sri Lanka,LKA,58615,Processed Foods,2024,New employee hires,82,number_of_employees,401-1-a,29723721
Convenience Foods Lanka PLC,38192,Large,Sri Lanka,LKA,58615,Processed Foods,2024,"Total electricity, heating, cooling and steam consumption",7217.05,GJ,302-1-c,27416388
Kikkoman Corporation,13150,Large,Japan,JPN,58198,Processed Foods,2024,Water withdrawal from all areas with water stress,7162000,m3,303-3-b,26391655
Convenience Foods Lanka PLC,38192,Large,Sri Lanka,LKA,58615,Processed Foods,2024,Total weight of waste directed to disposal,56.16,Metric tons,306-5-a,27416506
Lactalis ,7810,Large,France,FRA,59846,Processed Foods,2024,Gross direct (Scope 1) GHG emissions,13501,Metric tons of CO2-equivalent,305-1-a,30993624
Convenience Foods Lanka PLC,38192,Large,Sri Lanka,LKA,58615,Processed Foods,2024,Employee breakdown by gender and region,351,number_of_employees,2-7-a,27416600
ADF Foods Ltd,23058,Large,India,IND,58480,Processed Foods,2024,Gross direct (Scope 1) GHG emissions,4184.09,Metric tons of CO2-equivalent,305-1-a,27601719
Alicorp SAA,10029,Large,Peru,PER,59885,Processed Foods,2024,Total fuel consumption from renewable sources,287149.32,GJ,302-1-b,30834536
ADF Foods Ltd,23058,Large,India,IND,58480,Processed Foods,2024,Water withdrawal from all areas with water stress,150900,m3,303-3-b,27601579
Convenience Foods Lanka PLC,38192,Large,Sri Lanka,LKA,58615,Processed Foods,2024,Tax information by jurisdiction,17962387,USD,207-4-b,29723460
ADF Foods Ltd,23058,Large,India,IND,58480,Processed Foods,2024,Gross location-based energy indirect (Scope 2) GHG emissions,5527.45,Metric tons of CO2-equivalent,305-2-a,27601725
Convenience Foods Lanka PLC,38192,Large,Sri Lanka,LKA,58615,Processed Foods,2024,Value of benefit plan liabilities,1094865,USD,201-3-a,29723552
Monde Nissin Corporation,13322,Large,Philippines,PHL,51258,Processed Foods,2024,Total weight of non-hazardous waste directed to disposal,403,Metric tons,306-5-c,28284977
ADF Foods Ltd,23058,Large,India,IND,58480,Processed Foods,2024,Total weight of waste generated,38.22,Metric tons,306-3-a,27601747
Grupo Arcor SA,5546,Large,Argentina,ARG,57766,Processed Foods,2024,"Total electricity, heating, cooling and steam consumption",11978681.5,GJ,302-1-c,27290402
